subject_id	group	tumor_size	time_point	batch
b3_mlac5	M_LAC	0.18	9	batch_3
b3_mlac6	M_LAC	0.08	9	batch_3
b3_mlac7	M_LAC	0	9	batch_3
b3_mlac8	M_LAC	0	9	batch_3
b3_mlac9	M_LAC	0	9	batch_3
b3_mlac10	M_LAC	0	9	batch_3
b3_mlac1	M_LAC	0.41	11	batch_3
b3_mlac2	M_LAC	0.5	11	batch_3
b3_mlac3	M_LAC	0.72	11	batch_3
b3_mlac4	M_LAC	0.25	11	batch_3
b3_mlac5	M_LAC	0.18	11	batch_3
b3_mlac6	M_LAC	0.18	11	batch_3
b3_mlac7	M_LAC	0.08	11	batch_3
b3_mlac8	M_LAC	0.13	11	batch_3
b3_mlac9	M_LAC	0.08	11	batch_3
b3_mlac10	M_LAC	0.18	11	batch_3
b3_mlac1	M_LAC	0.13	14	batch_3
b3_mlac2	M_LAC	0.41	14	batch_3
b3_mlac3	M_LAC	1.041	14	batch_3
b3_mlac4	M_LAC	0.5	14	batch_3
b3_mlac5	M_LAC	0.9	14	batch_3
b3_mlac6	M_LAC	0.6	14	batch_3
b3_mlac7	M_LAC	0.75	14	batch_3
b3_mlac8	M_LAC	0.27	14	batch_3
b3_mlac9	M_LAC	0.61	14	batch_3
b3_mlac10	M_LAC	0.72	14	batch_3
b3_mlac1	M_LAC	0.95	16	batch_3
b3_mlac2	M_LAC	0.5	16	batch_3
b3_mlac3	M_LAC	1.33	16	batch_3
b3_mlac4	M_LAC	0.54	16	batch_3
b3_mlac5	M_LAC	1	16	batch_3
b3_mlac6	M_LAC	0.72	16	batch_3
b3_mlac7	M_LAC	0.7	16	batch_3
b3_mlac8	M_LAC	1.35	16	batch_3
b3_mlac9	M_LAC	1.35	16	batch_3
b3_mlac10	M_LAC	1.45	16	batch_3
b3_mlac1	M_LAC	0.98	18	batch_3
b3_mlac2	M_LAC	0.9	18	batch_3
b3_mlac3	M_LAC	2	18	batch_3
b3_mlac4	M_LAC	1.68	18	batch_3
b3_mlac5	M_LAC	1.54	18	batch_3
b3_mlac6	M_LAC	0.55	18	batch_3
b3_mbif1	M_BIF	0.18	7	batch_3
b3_mbif2	M_BIF	0.08	7	batch_3
b3_mbif3	M_BIF	0.18	7	batch_3
b3_mbif4	M_BIF	0	7	batch_3
b3_mbif5	M_BIF	0	7	batch_3
b3_mbif6	M_BIF	0	7	batch_3
b3_mbif7	M_BIF	0	7	batch_3
b3_mbif8	M_BIF	0	7	batch_3
b3_mbif9	M_BIF	0	7	batch_3
b3_mbif10	M_BIF	0	7	batch_3
b3_mbif1	M_BIF	0.13	9	batch_3
b3_mbif2	M_BIF	0.13	9	batch_3
b3_mbif3	M_BIF	0.08	9	batch_3
b3_mbif4	M_BIF	0.25	9	batch_3
b3_mbif5	M_BIF	0.05	9	batch_3
b3_mbif6	M_BIF	0.61	9	batch_3
b3_mbif7	M_BIF	0.18	9	batch_3
b3_mbif8	M_BIF	0.13	9	batch_3
b3_mbif9	M_BIF	0.13	9	batch_3
b3_mbif10	M_BIF	0.32	9	batch_3
b3_mbif1	M_BIF	0.25	11	batch_3
